Sampling Rate : 128 Hz,Duration : 10 Minutes
Time,PPG
2.84375,-60159.88672
2.8515625,-60077.02734
2.859375,-59977.34766
2.8671875,-60017.32813
2.875,-60282.71875
2.8828125,-60698.60938
2.890625,-61032.64063
2.8984375,-60987.49609
2.90625,-60347.49609
2.9140625,-59120.66797
2.921875,-57595.64453
2.9296875,-56266.43359
2.9375,-55622.87109
2.9453125,-55903.71094
2.953125,-56946.5625
2.9609375,-58244.3125
2.96875,-59201.97266
2.9765625,-59449.56641
2.984375,-59028.96875
2.9921875,-58334.94531
3,-30005.52148
3.0078125,-30551.95508
3.015625,-31072.20703
3.0234375,-31572.24023
3.03125,-32071.88086
3.0390625,-32592.89063
3.046875,-33140.22656
3.0546875,-33688.37891
3.0625,-34184.07031
3.0703125,-34567.65234
3.078125,-34800.6875
3.0859375,-34886.07031
3.09375,-34866.89453
3.1015625,-34804.77734
3.109375,-34753.08594
3.1171875,-34735.89844
3.125,-34747.16016
3.1328125,-34765.12891
3.140625,-34770.3125
3.1484375,-34757.82813
3.15625,-34736.125
3.1640625,-34717.92969
3.171875,-34710.57031
3.1796875,-34711.86719
3.1875,-34713.74609
3.1953125,-34708.75781
3.203125,-34694.78516
3.2109375,-34676.66406
3.21875,-34661.51172
3.2265625,-34654.79297
3.234375,-34656.99219
3.2421875,-34662.91406
3.25,-34665.92188
3.2578125,-34660.20703
3.265625,-34644.08594
3.2734375,-34620.57031
3.28125,-34594.68359
3.2890625,-34571.32031
3.296875,-34552.54688
3.3046875,-34537.32422
3.3125,-34523.07031
3.3203125,-34507.00391
3.328125,-34488.05078
3.3359375,-34466.58203
3.34375,-34443.03125
3.3515625,-34418.31641
3.359375,-34392.03906
3.3671875,-34363.91797
3.375,-34334.30078
3.3828125,-34303.62891
3.390625,-34273.83203
3.3984375,-34246.25
3.40625,-34221.86719
3.4140625,-34201.44922
3.421875,-34184.92578
3.4296875,-34172.41406
3.4375,-34163.71875
3.4453125,-34158.16797
3.453125,-34154.54688
3.4609375,-34150.48438
3.46875,-34143.63281
3.4765625,-34132.49219
3.484375,-34116.96094
3.4921875,-34100.01172
3.5,-34085.17188
3.5078125,-34076.01172
3.515625,-34073.48828
3.5234375,-34074.98438
3.53125,-34076.89063
3.5390625,-34075.46484
3.546875,-34069.37891
3.5546875,-34060.50781
3.5625,-34051.78516
3.5703125,-34045.71094
3.578125,-34042.39453
3.5859375,-34039.73047
3.59375,-34035.125
3.6015625,-34026.5
3.609375,-34013.83984
3.6171875,-33998.49609
3.625,-33981.83594
3.6328125,-33966.04297
3.640625,-33952.53516
3.6484375,-33942.94141
3.65625,-33938.74609
3.6640625,-33939.50391
3.671875,-33943.64063
3.6796875,-33947.19531
3.6875,-33945.91016
3.6953125,-33937.64453
3.703125,-33923.15234
3.7109375,-33906.80469
3.71875,-33894.23047
3.7265625,-33889.78125
3.734375,-33894.53516
3.7421875,-33905.22656
3.75,-33916.17969
3.7578125,-33921.55078
3.765625,-33917.28125
3.7734375,-33903.83594
3.78125,-33884.49219
3.7890625,-33864.59766
3.796875,-33849.37891
3.8046875,-33841.29688
3.8125,-33840.87109
3.8203125,-33845.66406
3.828125,-33852.09766
3.8359375,-33857.14063
3.84375,-33858.62109
3.8515625,-33856.34766
3.859375,-33851.46875
3.8671875,-33845.85938
3.875,-33841.63672
3.8828125,-33839.84766
3.890625,-33840.82422
3.8984375,-33843.81641
3.90625,-33846.57813
3.9140625,-33847.03906
3.921875,-33842.09766
3.9296875,-33829.18359
3.9375,-33807.25391
3.9453125,-33776.76172
3.953125,-33741.4375
3.9609375,-33706.00781
3.96875,-33674.83984
3.9765625,-33650.21094
3.984375,-33630.75781
3.9921875,-33612.96094
4,-33593.25391
4.0078125,-33569.625
4.015625,-33543.88672
4.0234375,-33519.5
4.03125,-33500.27734
4.0390625,-33488.12891
4.046875,-33481.59766
4.0546875,-33478.11328
4.0625,-33474.07813
4.0703125,-33467.29688
4.078125,-33457.85547
4.0859375,-33446.78906
4.09375,-33436.61328
4.1015625,-33428.90234
4.109375,-33424.04297
4.1171875,-33421.42188
4.125,-33419.41406
4.1328125,-33416.84375
4.140625,-33413.38672
4.1484375,-33409.53516
4.15625,-33406.58594
4.1640625,-33404.92188
4.171875,-33404.27344
4.1796875,-33403.73828
4.1875,-33401.96094
4.1953125,-33399.50781
4.203125,-33397.45313
4.2109375,-33397.26563
4.21875,-33399.57813
4.2265625,-33402.22656
4.234375,-33402.11719
4.2421875,-33395.82031
4.25,-33382.42188
4.2578125,-33365.09766
4.265625,-33349.82422
4.2734375,-33343.0625
4.28125,-33348.21875
4.2890625,-33363.35547
4.296875,-33382.28125
4.3046875,-33396.75391
4.3125,-33401.01172
4.3203125,-33394.30859
4.328125,-33380.34375
4.3359375,-33366.73047
4.34375,-33359.91406
4.3515625,-33363.19141
4.359375,-33375.57031
4.3671875,-33391.58203
4.375,-33405.07422
4.3828125,-33410.90625
4.390625,-33407.75391
4.3984375,-33398.70703
4.40625,-33389.38672
4.4140625,-33385.35938
4.421875,-33389.11328
4.4296875,-33398.60547
4.4375,-33409.17188
4.4453125,-33415.46484
4.453125,-33414.89453
4.4609375,-33408.20703
4.46875,-33397.375
4.4765625,-33384.80859
4.484375,-33370.33203
4.4921875,-33352.45703
4.5,-33330.21094
4.5078125,-33304.29688
4.515625,-33277.62109
4.5234375,-33252.91797
4.53125,-33231.42188
4.5390625,-33212.16797
4.546875,-33192.79688
4.5546875,-33171.76172
4.5625,-33149.53125
4.5703125,-33128.03906
4.578125,-33109.72266
4.5859375,-33094.89453
4.59375,-33081.86719
4.6015625,-33067.56641
4.609375,-33048.71484
4.6171875,-33025.16797
4.625,-32999.07422
4.6328125,-32974.92969
4.640625,-32957.76172
4.6484375,-32949.89844
4.65625,-32950.72656
4.6640625,-32955.64063
4.671875,-32958.25
4.6796875,-32953.17578
4.6875,-32938.0625
4.6953125,-32914.79688
4.703125,-32888.5
4.7109375,-32864.80078
4.71875,-32848.67578
4.7265625,-32841.64063
4.734375,-32842.53125
4.7421875,-32847.95703
4.75,-32852.85938
4.7578125,-32853.625
4.765625,-32847.99219
4.7734375,-32836.87891
4.78125,-32824.50391
4.7890625,-32815.89063
4.796875,-32815.52734
4.8046875,-32823.88281
4.8125,-32837.14063
4.8203125,-32848.91797
4.828125,-32853.32031
4.8359375,-32848.26953
4.84375,-32836.36719
4.8515625,-32822.73047
4.859375,-32812.69922
4.8671875,-32807.94922
4.875,-32806.93359
4.8828125,-32806.42578
4.890625,-32803.33594
4.8984375,-32797.75781
4.90625,-32791.23828
4.9140625,-32785.88672
4.921875,-32783.00781
4.9296875,-32781.75391
4.9375,-32781.05078
4.9453125,-32779.75391
4.953125,-32777.67578
4.9609375,-32775.46094
4.96875,-32773.55469
4.9765625,-32772.02734
4.984375,-32770.58594
4.9921875,-32768.52734
5,-32766.1543
5.0078125,-32763.37305
5.015625,-32760.16016
5.0234375,-32755.94922
5.03125,-32748.88086
5.0390625,-32737.7207
5.046875,-32721.18359
5.0546875,-32699.14453
5.0625,-32673.0293
5.0703125,-32644.60547
5.078125,-32616.39063
5.0859375,-32590.04102
5.09375,-32566.27148
5.1015625,-32544.91797
5.109375,-32524.93555
5.1171875,-32505.14844
